#Thousand Word Corpus courtesy of ASBusinessMagnet
#Feel free to modify to your own accord

#File format: word,sPoint,nPoint,yPoint,mPoint
счастье,4,3,1,2
печаль,4,3,1,2
смерть,4,1,2,3
трагедия,4,1,2,3
одиночество,4,1,2,3
любовь,4,2,1,3
приключение,4,3,1,2
сладкий,4,2,1,3
ажиотаж,4,2,1,3
фейерверк,4,3,2,1
романтика,4,2,1,3
слёзы,4,1,2,3
депрессия,4,1,3,2
сердце,4,2,1,3
свадьба,4,2,1,3
страсть,4,2,1,3
детство,4,3,2,1
радость,4,3,1,2
цвет,4,3,2,1
надежда,4,2,3,1
друзья,4,3,1,2
семья,4,2,1,3
вечеринка,4,3,2,1
каникулы,4,3,1,2
лень,4,3,2,1
грёзы,4,1,2,3
боль,4,2,3,1
праздник,4,3,1,2
кровать,4,3,1,2
перо,4,3,2,1
стыд,4,2,3,1
страх,4,1,3,2
теплота,4,3,1,2
цветок,4,3,1,2
уют,4,3,1,2
танец,4,2,1,3
пение,4,2,1,3
крик,4,1,2,3
смех,4,3,1,2
тьма,4,2,3,1
солнечный,4,3,1,2
тучи,4,3,2,1
покой,4,1,3,2
глупый,4,3,2,1
летающий,4,3,2,1
чудесный,4,3,2,1
безответный,4,1,2,3
роза,4,1,2,3
вместе,4,2,1,3
обещание,4,2,1,3
обаяние,4,3,2,1
красота,4,2,1,3
приободрение,4,3,2,1
улыбка,4,2,1,3
сломанный,4,1,2,3
дорогой,4,2,1,3
молитва,4,1,3,2
неуклюжий,4,3,2,1
прощение,4,2,3,1
природа,4,3,1,2
океан,4,3,1,2
очаровывать,4,3,2,1
особый,4,2,1,3
музыка,4,2,1,3
счастливый,4,3,2,1
неудача,4,2,3,1
громкий,4,3,1,2
мирный,4,1,3,2
веселье,4,1,3,2
закат,4,3,1,2
светлячки,4,3,2,1
радуга,4,3,1,2
обида,4,2,3,1
играть,4,3,2,1
блеск,4,3,2,1
шрамы,4,2,3,1
пустой,4,1,2,3
удивительный,4,3,2,1
горе,4,1,3,2
объятия,4,1,2,3
необычайный,4,2,1,3
потрясающий,4,3,2,1
поражение,4,1,3,2
безнадёжный,4,1,2,3
страдание,4,1,3,2
сокровище,4,3,1,2
блаженство,4,2,1,3
воспоминания,4,2,1,3
приятный,4,3,1,2
ностальгия,4,2,1,3
волшебный,4,1,2,3
привлекательный,4,1,2,3
холодный,4,3,1,2
свечи,4,1,2,3
крик,4,3,1,2
случайный,4,2,3,1
небо,4,1,3,2
отъезд,4,1,3,2
замечательный,4,1,2,3
булочка,4,3,2,1
исключительный,4,2,1,3
боль,4,2,3,1
вокал,4,3,1,2
азарт,4,2,3,1
ожидание,4,2,3,1
воображать,4,1,2,3
притягательный,4,1,2,3
чувство,4,3,1,2
притворство,4,3,2,1
банда,4,2,1,3
смелость,4,2,3,1
изморось,4,3,1,2
признание,4,1,2,3
пылающий,4,1,3,2
оцепенелый,4,1,3,2
слабый,4,3,2,1
чёрный,4,2,3,1
церковь,4,1,3,2
яркий,4,1,3,2
довольный,4,1,3,2
печенье,4,3,2,1
безжизненный,4,1,3,2
обезумевший,4,1,3,2
лепить,4,3,2,1
ночь,4,3,1,2
невинный,4,3,2,1
торт,4,3,2,1
восклицать,4,3,1,2
песня,4,2,1,3
детсад,4,3,2,1
поездка,4,3,2,1
